date,sentiment_classfn,btc_price
2019-10-11,7942,8258.5
2019-10-12,8020,8300.09
2019-10-13,8092,8275.01
2019-10-14,7988,8348.2
2019-10-15,7953,8159.29
2019-10-16,7913,7991.74
2019-10-17,7984,8070.58
2019-10-18,7981,7947.01
2019-10-19,8056,7948.01
2019-10-20,8094,8223.35
2019-10-21,8020,8197.27
2019-10-22,7985,8020.0
2019-10-23,7606,7466.62
2019-10-24,7909,7412.41
2019-10-25,8359,8655.02
2019-10-26,8517,9230.0
2019-10-27,8430,9529.93
2019-10-28,8317,9205.14
2019-10-29,8109,9407.62
2019-10-30,8065,9154.72
2019-10-31,8293,9140.85
2019-11-01,8212,9231.61
2019-11-02,8305,9289.52
2019-11-03,8225,9194.71
2019-11-04,8310,9393.35
2019-11-05,8193,9308.66
2019-11-06,8185,9339.05
2019-11-07,8168,9216.2
2019-11-08,8054,8773.73
2019-11-09,8151,8809.41
2019-11-10,8122,9039.47
2019-11-11,8034,8733.27
2019-11-12,8070,8821.94
2019-11-13,8075,8777.12
2019-11-14,8043,8646.68
2019-11-15,8034,8471.73
2019-11-16,8088,8491.02
2019-11-17,8130,8502.4
2019-11-18,7902,8187.17
2019-11-19,7963,8133.64
2019-11-20,8146,8098.01
2019-11-21,7975,7627.74
2019-11-22,7744,7268.23
2019-11-23,8005,7311.57
2019-11-24,7869,6903.28
2019-11-25,7636,7109.57
2019-11-26,7999,7156.14
2019-11-27,8084,7508.52
2019-11-28,8105,7419.49
2019-11-29,8135,7739.68
2019-11-30,8073,7541.89
2019-12-01,7986,7390.89
2019-12-02,7967,7294.28
2019-12-03,7974,7292.71
2019-12-04,8001,7194.32
2019-12-05,7988,7389.0
2019-12-06,8077,7527.47
2019-12-07,8050,7488.21
2019-12-08,8126,7510.11
2019-12-09,8023,7338.64
2019-12-10,7938,7224.13
2019-12-11,7954,7210.0
2019-12-12,7991,7198.08
2019-12-13,8025,7258.48
2019-12-14,7982,7064.05
2019-12-15,8052,7118.59
2019-12-16,7896,6891.72
2019-12-17,7697,6623.82
2019-12-18,8191,7277.83
2019-12-19,8100,7150.3
2019-12-20,8148,7187.83
2019-12-21,8026,7132.75
2019-12-22,8245,7501.44
2019-12-23,8160,7317.09
2019-12-24,8061,7255.77
2019-12-25,8045,7204.63
2019-12-26,8146,7202.0
2019-12-27,8069,7254.74
2019-12-28,8156,7316.14
2019-12-29,8152,7388.24
2019-12-30,7966,7246.0
2019-12-31,8013,7195.23
2020-01-01,8074,7200.85
2020-01-02,7823,6965.71
2020-01-03,8029,7344.96
2020-01-04,8099,7354.11
2020-01-05,8172,7358.75
2020-01-06,8369,7758.0
2020-01-07,8427,8145.28
2020-01-08,8142,8055.98
2020-01-09,8089,7817.76
2020-01-10,8215,8197.02
2020-01-11,8173,8020.01
2020-01-12,8123,8184.98
2020-01-13,8023,8110.34
2020-01-14,8503,8810.01
2020-01-15,8118,8821.41
2020-01-16,8048,8720.01
2020-01-17,8290,8913.28
2020-01-18,8205,8915.96
2020-01-19,8335,8701.7
2020-01-20,8119,8642.35
2020-01-21,8088,8736.03
2020-01-22,8050,8682.36
2020-01-23,7973,8404.52
2020-01-24,8031,8439.0
2020-01-25,8034,8340.58
2020-01-26,8078,8615.0
2020-01-27,8188,8907.57
2020-01-28,8382,9374.21
2020-01-29,8254,9301.53
2020-01-30,8266,9513.21
2020-01-31,8061,9352.89
2020-02-01,8135,9384.61
2020-02-02,8152,9331.51
2020-02-03,8089,9292.24
2020-02-04,8018,9197.02
2020-02-05,8287,9612.04
2020-02-06,8219,9772.0
2020-02-07,8188,9813.73
2020-02-08,8331,9895.05
2020-02-09,8469,10151.75
2020-02-10,8018,9851.83
2020-02-11,8204,10223.08
2020-02-12,8203,10326.46
2020-02-13,8155,10229.63
2020-02-14,8103,10344.36
2020-02-15,8173,9904.72
2020-02-16,8151,9917.27
2020-02-17,7981,9706.0
2020-02-18,8459,10164.71
2020-02-19,8045,9593.79
2020-02-20,8070,9596.42
2020-02-21,8093,9677.05
2020-02-22,8037,9650.86
2020-02-23,8222,9936.4
2020-02-24,7958,9656.13
2020-02-25,7899,9315.84
2020-02-26,7745,8785.25
2020-02-27,8036,8823.21
2020-02-28,7978,8692.91
2020-02-29,8014,8523.61
2020-03-01,7934,8531.88
2020-03-02,8100,8915.24
2020-03-03,7990,8760.07
2020-03-04,8021,8750.87
2020-03-05,8102,9054.68
2020-03-06,8037,9131.88
2020-03-07,8042,8886.66
2020-03-08,7808,8033.31
2020-03-09,7792,7929.87
2020-03-10,7949,7894.56
2020-03-11,7992,7934.52
2020-03-12,7036,4800.0
2020-03-13,7070,5578.6
2020-03-14,7839,5172.06
2020-03-15,7882,5361.3
2020-03-16,7710,5028.97
2020-03-17,7930,5312.64
2020-03-18,7949,5393.04
2020-03-19,8079,6162.37
2020-03-20,7876,6208.36
2020-03-21,7916,6186.98
2020-03-22,7827,5816.19
2020-03-23,7936,6467.31
2020-03-24,8028,6744.72
2020-03-25,7910,6677.43
2020-03-26,8001,6737.36
2020-03-27,7954,6359.11
2020-03-28,7893,6236.65
2020-03-29,7852,5881.42
2020-03-30,7994,6394.38
2020-03-31,7946,6410.44
2020-04-01,7881,6642.92
2020-04-02,8029,6794.09
2020-04-03,7952,6734.1
2020-04-04,7999,6856.99
2020-04-05,7964,6772.78
2020-04-06,8143,7329.9
2020-04-07,7992,7197.32
2020-04-08,8016,7361.28
2020-04-09,7975,7283.54
2020-04-10,7858,6858.92
2020-04-11,7906,6876.83
2020-04-12,7963,6903.79
2020-04-13,7850,6837.91
2020-04-14,7991,6868.7
2020-04-15,7867,6621.24
2020-04-16,8019,7101.94
2020-04-17,8018,7027.55
2020-04-18,8089,7248.6
2020-04-19,7939,7120.74
2020-04-20,7923,6826.83
2020-04-21,7980,6841.37
2020-04-22,8009,7125.14
2020-04-23,8149,7482.39
2020-04-24,8055,7505.0
2020-04-25,8078,7538.67
2020-04-26,8122,7693.1
2020-04-27,8083,7774.62
2020-04-28,8052,7738.98
2020-04-29,8380,8778.57
2020-04-30,8267,8620.0
2020-05-01,8076,8826.96
2020-05-02,8227,8972.05
2020-05-03,8224,8894.16
2020-05-04,8125,8871.96
2020-05-05,8171,9021.83
2020-05-06,8284,9142.92
2020-05-07,8645,9986.4
2020-05-08,8221,9800.01
2020-05-09,7898,9539.4
2020-05-10,7121,8722.77
2020-05-11,8076,8561.52
2020-05-12,8145,8810.79
2020-05-13,8310,9309.37
2020-05-14,8424,9791.98
2020-05-15,7999,9316.42
2020-05-16,8092,9381.27
2020-05-17,8262,9680.04
2020-05-18,8333,9733.93
2020-05-19,8111,9775.53
2020-05-20,8026,9511.43
2020-05-21,7892,9068.65
2020-05-22,8052,9170.0
2020-05-23,8022,9179.15
2020-05-24,7824,8720.34
2020-05-25,7844,8900.35
2020-05-26,7964,8841.18
2020-05-27,8011,9204.07
2020-05-28,8212,9575.89
2020-05-29,8117,9427.07
2020-05-30,8231,9697.72
2020-05-31,8065,9448.27
2020-06-01,8425,10200.77
2020-06-02,8117,9518.04
2020-06-03,8025,9666.24
2020-06-04,8088,9789.06
2020-06-05,7983,9621.16
2020-06-06,8046,9666.3
2020-06-07,8224,9746.99
2020-06-08,8026,9782.01
2020-06-09,8141,9772.43
2020-06-10,8173,9885.0
2020-06-11,7961,9280.4
2020-06-12,8026,9465.13
2020-06-13,8067,9473.34
2020-06-14,7996,9342.1
2020-06-15,8080,9426.02
2020-06-16,8102,9525.59
2020-06-17,7993,9465.14
2020-06-18,8002,9386.32
2020-06-19,8004,9310.23
2020-06-20,8059,9358.95
2020-06-21,8043,9294.69
2020-06-22,8194,9685.69
2020-06-23,8082,9624.89
2020-06-24,8026,9296.49
2020-06-25,8035,9249.49
2020-06-26,8079,9162.21
2020-06-27,7938,9012.0
2020-06-28,8072,9116.35
2020-06-29,8075,9192.56
2020-06-30,8088,9138.55
2020-07-01,8184,9232.0
2020-07-02,8031,9086.54
2020-07-03,8036,9058.26
2020-07-04,8173,9135.46
2020-07-05,8163,9069.41
2020-07-06,8106,9344.2
2020-07-07,8069,9257.39
2020-07-08,8182,9436.06
2020-07-09,8028,9232.43
2020-07-10,7948,9288.34
2020-07-11,8002,9234.03
2020-07-12,8061,9302.75
2020-07-13,8020,9242.62
2020-07-14,8019,9255.85
2020-07-15,8018,9197.6
2020-07-16,7967,9133.72
2020-07-17,8027,9154.32
