date,sentiment_classfn,doge_price
2019-10-12,1608,0.0023196
2019-10-13,1634,0.0024317
2019-10-14,1614,0.0025415
2019-10-15,1613,0.0024964
2019-10-16,1618,0.0026162
2019-10-17,1630,0.0027405
2019-10-18,1619,0.0026952
2019-10-19,1605,0.0027176
2019-10-20,1608,0.0027151
2019-10-21,1607,0.0026879
2019-10-22,1608,0.0025311
2019-10-23,1605,0.0024746
2019-10-24,1617,0.0025183
2019-10-25,1605,0.0026694
2019-10-26,1609,0.0025925
2019-10-27,1607,0.00264
2019-10-28,1607,0.0026265
2019-10-29,1612,0.002625
2019-10-30,1609,0.0025936
2019-10-31,1610,0.0025844
2019-11-01,1611,0.0025932
2019-11-02,1608,0.0025773
2019-11-03,1609,0.0025861
2019-11-04,1610,0.0025751
2019-11-05,1610,0.0025927
2019-11-06,1610,0.0025952
2019-11-07,1627,0.0026982
2019-11-08,1606,0.0026381
2019-11-09,1631,0.0027126
2019-11-10,1638,0.0027565
2019-11-11,1618,0.002705
2019-11-12,1610,0.0027078
2019-11-13,1609,0.0026821
2019-11-14,1606,0.002662
2019-11-15,1608,0.002658
2019-11-16,1614,0.0026606
2019-11-17,1607,0.0026258
2019-11-18,1610,0.0025395
2019-11-19,1609,0.0025165
2019-11-20,1608,0.0025225
2019-11-21,1604,0.0024063
2019-11-22,1609,0.0023524
2019-11-23,1605,0.0023994
2019-11-24,1609,0.002233
2019-11-25,1607,0.0022539
2019-11-26,1608,0.0022663
2019-11-27,1606,0.0023208
2019-11-28,1606,0.002272
2019-11-29,1607,0.0023593
2019-11-30,1605,0.0022918
2019-12-01,1600,0.0022648
2019-12-02,1609,0.0022194
2019-12-03,1605,0.0021782
2019-12-04,1605,0.0021682
2019-12-05,1604,0.0021755
2019-12-06,1607,0.0021944
2019-12-07,1606,0.002184
2019-12-08,1603,0.0021971
2019-12-09,1609,0.0021699
2019-12-10,1604,0.0021368
2019-12-11,1614,0.0021379
2019-12-12,1617,0.0021344
2019-12-13,1607,0.0021321
2019-12-14,1607,0.0021127
2019-12-15,1602,0.0021363
2019-12-16,1605,0.002087
2019-12-17,1602,0.0019772
2019-12-18,1611,0.0020483
2019-12-19,1609,0.0020205
2019-12-21,1606,0.00204
2019-12-22,1607,0.0020808
2019-12-23,1603,0.002051
2019-12-24,1604,0.0020184
2019-12-25,1604,0.00204
2019-12-26,1608,0.0020245
2019-12-27,1613,0.0020277
2019-12-28,1611,0.0020458
2019-12-29,1604,0.0020329
2019-12-30,1605,0.0020264
2019-12-31,1608,0.0020135
2020-01-01,1607,0.0020245
2020-01-02,1611,0.0019951
2020-01-03,1610,0.0020236
2020-01-04,1606,0.0020579
2020-01-05,1608,0.0020696
2020-01-06,1612,0.0021344
2020-01-07,1616,0.002175
2020-01-08,1618,0.0020886
2020-01-09,1607,0.0021282
2020-01-10,1612,0.0021973
2020-01-11,1609,0.0021754
2020-01-12,1605,0.0021963
2020-01-13,1606,0.0021704
2020-01-14,1619,0.0023581
2020-01-15,1608,0.0023669
2020-01-16,1612,0.0023276
2020-01-17,1623,0.0024868
2020-01-18,1626,0.0025115
2020-01-19,1608,0.0023982
2020-01-20,1611,0.002376
2020-01-21,1610,0.0023673
2020-01-22,1613,0.0023434
2020-01-23,1611,0.0022514
2020-01-24,1615,0.0022698
2020-01-25,1609,0.002251
2020-01-26,1603,0.0022854
2020-01-27,1617,0.0023594
2020-01-28,1606,0.0024412
2020-01-29,1607,0.0023865
2020-01-30,1610,0.002414
2020-01-31,1614,0.0023776
2020-02-01,1610,0.002417
2020-02-02,1613,0.0024406
2020-02-03,1609,0.0024156
2020-02-04,1618,0.0025169
2020-02-05,1641,0.0025826
2020-02-06,1617,0.0026654
2020-02-07,1631,0.0027888
2020-02-08,1663,0.003171
2020-02-09,1737,0.0032235
2020-02-10,1628,0.0029663
2020-02-11,1605,0.00303
2020-02-12,1606,0.0030589
2020-02-13,1612,0.0030132
2020-02-14,1618,0.0031067
2020-02-15,1627,0.0029031
2020-02-16,1588,0.0027522
2020-02-17,1598,0.0026999
2020-02-18,1611,0.0028286
2020-02-19,1597,0.0026085
2020-02-20,1603,0.002653
2020-02-21,1606,0.0026481
2020-02-22,1609,0.0025887
2020-02-23,1611,0.0026772
2020-02-24,1610,0.0025769
2020-02-25,1591,0.0024734
2020-02-26,1594,0.0023439
2020-02-27,1608,0.0023255
2020-02-28,1600,0.0022823
2020-02-29,1600,0.0022153
2020-03-01,1606,0.0022794
2020-03-02,1610,0.0023471
2020-03-03,1613,0.0024985
2020-03-04,1610,0.0024187
2020-03-05,1610,0.0024771
2020-03-06,1606,0.0024862
2020-03-07,1606,0.0024066
2020-03-08,1604,0.0021671
2020-03-09,1599,0.0022203
2020-03-10,1605,0.0022053
2020-03-11,1608,0.0021716
2020-03-12,1601,0.0015996
2020-03-13,1606,0.001746
2020-03-14,1604,0.0016632
2020-03-15,1609,0.0016932
2020-03-16,1607,0.0015817
2020-03-17,1604,0.0016219
2020-03-18,1608,0.0016002
2020-03-19,1613,0.00177
2020-03-20,1606,0.0017802
2020-03-21,1607,0.0017849
2020-03-22,1608,0.0017264
2020-03-23,1606,0.0018192
2020-03-24,1604,0.0018641
2020-03-25,1604,0.0018296
2020-03-27,1606,0.0017766
2020-03-28,1604,0.001783
2020-03-29,1604,0.0017099
2020-03-31,1606,0.0018041
2020-04-01,1607,0.0018631
2020-04-02,1607,0.0018777
2020-04-03,1605,0.0018467
2020-04-04,1606,0.0018697
2020-04-05,1605,0.00185
2020-04-06,1607,0.0019896
2020-04-07,1600,0.0019943
2020-04-08,1606,0.0020038
2020-04-09,1604,0.0020151
2020-04-10,1608,0.001965
2020-04-11,1609,0.0019645
2020-04-12,1606,0.0019673
2020-04-13,1607,0.0019533
2020-04-14,1605,0.0019656
2020-04-15,1606,0.0019061
2020-04-16,1605,0.001995
2020-04-17,1610,0.001983
2020-04-18,1607,0.0020445
2020-04-19,1608,0.0020313
2020-04-20,1606,0.0019787
2020-04-21,1604,0.00195
2020-04-22,1605,0.0019957
2020-04-23,1612,0.0020512
2020-04-24,1605,0.0020832
2020-04-25,1606,0.0021245
2020-04-26,1659,0.0024076
2020-04-27,1622,0.0023456
2020-04-28,1611,0.002327
2020-04-29,1613,0.0024912
2020-04-30,1606,0.002433
2020-05-01,1603,0.0024749
2020-05-02,1610,0.002542
2020-05-03,1619,0.0025001
2020-05-04,1606,0.0024605
2020-05-05,1606,0.0024738
2020-05-06,1607,0.0024801
2020-05-07,1613,0.0026627
2020-05-08,1607,0.0026052
2020-05-09,1605,0.0026075
2020-05-10,1600,0.0024602
2020-05-11,1610,0.0024125
2020-05-12,1613,0.0024606
2020-05-13,1607,0.0025245
2020-05-14,1605,0.0025813
2020-05-15,1606,0.0024888
2020-05-16,1604,0.0025098
