date,sentiment_classfn,shib_price
2021-05-10,3679,3.466e-05
2021-05-11,2555,3.042e-05
2021-05-12,1735,1.821e-05
2021-05-13,1546,2.102e-05
2021-05-14,1127,1.84e-05
2021-05-15,701,1.553e-05
2021-05-16,1136,1.784e-05
2021-05-17,1285,1.651e-05
2021-05-18,814,1.56e-05
2021-05-19,805,9.07e-06
2021-05-20,539,9.64e-06
2021-05-21,470,8.2e-06
2021-05-22,598,8.42e-06
2021-05-23,867,8.09e-06
2021-05-24,980,1.065e-05
2021-05-25,375,9.39e-06
2021-05-26,227,9.49e-06
2021-05-27,253,8.79e-06
2021-05-28,256,7.9e-06
2021-05-29,341,7.89e-06
2021-05-30,478,7.86e-06
2021-05-31,1053,9.28e-06
2021-06-01,477,8.82e-06
2021-06-02,544,9.44e-06
2021-06-03,703,9.82e-06
2021-06-04,577,8.79e-06
2021-06-05,429,8.42e-06
2021-06-06,461,8.53e-06
2021-06-07,430,7.74e-06
2021-06-08,386,7.15e-06
2021-06-09,283,7.38e-06
2021-06-10,218,6.84e-06
2021-06-11,274,6.21e-06
2021-06-12,442,6.28e-06
2021-06-13,500,6.85e-06
2021-06-14,272,7.09e-06
2021-06-15,1180,9.03e-06
2021-06-16,525,8.31e-06
2021-06-17,496,7.95e-06
2021-06-18,331,7.26e-06
2021-06-19,392,7.62e-06
2021-06-20,357,7.78e-06
2021-06-21,321,6.19e-06
2021-06-22,369,6.33e-06
2021-06-23,229,6.84e-06
2021-06-24,244,7.21e-06
2021-06-25,429,7.07e-06
2021-06-26,418,7.48e-06
2021-06-27,477,7.85e-06
2021-06-28,495,8.08e-06
2021-06-29,910,8.87e-06
2021-06-30,360,8.82e-06
2021-07-01,320,8.32e-06
2021-07-02,271,8.35e-06
2021-07-03,424,8.66e-06
2021-07-04,294,8.73e-06
2021-07-05,210,8.34e-06
2021-07-06,515,8.74e-06
2021-07-07,198,8.55e-06
2021-07-08,74,8.02e-06
2021-07-09,110,7.91e-06
2021-07-10,145,7.67e-06
2021-07-11,87,7.86e-06
2021-07-12,11,7.56e-06
2021-07-13,17,7.11e-06
2021-07-14,70,7.24e-06
2021-07-15,80,6.91e-06
2021-07-16,62,6.62e-06
2021-07-17,229,6.81e-06
2021-07-18,45,6.64e-06
2021-07-19,37,6.19e-06
2021-07-20,56,5.89e-06
2021-07-21,301,6.54e-06
2021-07-22,76,6.46e-06
2021-07-23,116,6.48e-06
2021-07-24,61,6.44e-06
2021-07-25,1,6.36e-06
2021-07-26,261,6.3e-06
2021-07-27,83,6.32e-06
