date,sentiment_classfn,xrp_price
2019-10-11,1260,0.26743
2019-10-12,1276,0.27226
2019-10-13,1278,0.27726
2019-10-14,1310,0.29727
2019-10-15,1284,0.28859
2019-10-16,1270,0.28331
2019-10-17,1280,0.30167
2019-10-18,1272,0.29404
2019-10-19,1269,0.29145
2019-10-20,1272,0.29386
2019-10-21,1278,0.29187
2019-10-22,1293,0.29046
2019-10-23,1288,0.27306
2019-10-24,1268,0.27596
2019-10-25,1287,0.29829
2019-10-26,1275,0.29351
2019-10-27,1267,0.29818
2019-10-28,1273,0.29447
2019-10-29,1289,0.30192
2019-10-30,1272,0.29471
2019-10-31,1276,0.29452
2019-11-01,1262,0.29146
2019-11-02,1259,0.29456
2019-11-03,1264,0.29024
2019-11-04,1268,0.29863
2019-11-05,1265,0.30061
2019-11-06,1271,0.31009
2019-11-07,1270,0.29061
2019-11-08,1266,0.27547
2019-11-09,1271,0.2799
2019-11-10,1277,0.27894
2019-11-11,1279,0.27423
2019-11-12,1266,0.27222
2019-11-13,1266,0.27202
2019-11-14,1266,0.26795
2019-11-15,1268,0.26069
2019-11-16,1269,0.26218
2019-11-17,1255,0.26311
2019-11-18,1254,0.25179
2019-11-19,1261,0.25398
2019-11-20,1257,0.25014
2019-11-21,1256,0.24345
2019-11-22,1253,0.23
2019-11-23,1266,0.23407
2019-11-24,1246,0.21989
2019-11-25,1226,0.21731
2019-11-26,1252,0.2206
2019-11-27,1266,0.224
2019-11-28,1271,0.22313
2019-11-29,1266,0.22998
2019-11-30,1252,0.2255
2019-12-01,1268,0.22477
2019-12-02,1258,0.21914
2019-12-03,1256,0.21951
2019-12-04,1269,0.2139
2019-12-05,1252,0.22118
2019-12-06,1262,0.22546
2019-12-07,1263,0.22699
2019-12-08,1282,0.22909
2019-12-09,1258,0.22445
2019-12-10,1261,0.22256
2019-12-11,1257,0.22093
2019-12-12,1272,0.21837
2019-12-13,1262,0.22054
2019-12-14,1273,0.21605
2019-12-15,1272,0.21735
2019-12-16,1258,0.2055
2019-12-17,1191,0.1831
2019-12-18,1259,0.19573
2019-12-19,1268,0.1878
2019-12-20,1275,0.19521
2019-12-21,1278,0.19143
2019-12-22,1273,0.19649
2019-12-23,1269,0.18953
2019-12-24,1264,0.19077
2019-12-25,1270,0.18852
2019-12-26,1272,0.18923
2019-12-27,1266,0.19003
2019-12-28,1281,0.1932
2019-12-29,1269,0.19653
2019-12-30,1272,0.19326
2019-12-31,1273,0.19295
2020-01-01,1276,0.19305
2020-01-02,1262,0.1875
2020-01-03,1267,0.19338
2020-01-04,1271,0.19305
2020-01-05,1285,0.19453
2020-01-06,1295,0.2231
2020-01-07,1259,0.21335
2020-01-08,1255,0.2075
